chr1	830005	830609	.	1000	.	32.28741	-1.00000	4.91947	302
chr1	830220	830824	.	719	.	20.07979	-1.00000	4.91947	302
chr1	831697	831947	.	1000	.	39.90073	-1.00000	2.48609	125
chr1	842649	843253	.	1000	.	32.68667	-1.00000	4.91947	302
chr1	842846	843096	.	618	.	18.82535	-1.00000	1.34247	125
chr1	911089	911693	.	687	.	22.46041	-1.00000	4.91947	302
chr1	916386	916990	.	755	.	21.72344	-1.00000	4.91947	302
chr1	1004957	1005253	.	1000	.	20.89922	-1.00000	3.95602	148
chr1	1005022	1005272	.	1000	.	41.40307	-1.00000	2.57872	125
chr1	1024262	1024866	.	942	.	35.63381	-1.00000	4.91947	302
chr1	1024275	1024432	.	1000	.	66.69008	-1.00000	4.91947	75
chr1	1109808	1110104	.	1000	.	21.72186	-1.00000	3.95602	148
chr1	1123928	1124224	.	789	.	15.75511	-1.00000	3.95602	148
chr1	1222782	1223078	.	875	.	15.68415	-1.00000	3.95602	148
chr1	1223002	1223298	.	874	.	7.26255	-1.00000	2.18649	148
chr1	1261973	1262577	.	959	.	32.05368	-1.00000	4.91947	302
chr1	1307976	1308580	.	1000	.	31.28721	-1.00000	4.91947	302
chr1	1374948	1375552	.	1000	.	52.23151	-1.00000	4.91947	302
chr1	1375205	1375455	.	990	.	23.02291	-1.00000	1.73888	125
chr1	1504950	1505554	.	1000	.	36.46743	-1.00000	4.91947	302
chr1	1505155	1505759	.	929	.	14.79055	-1.00000	4.28017	302
chr1	1561283	1561579	.	945	.	17.36900	-1.00000	3.95602	148
chr1	1564387	1564683	.	621	.	11.63709	-1.00000	3.59340	148
chr1	1574586	1575190	.	1000	.	44.52352	-1.00000	4.91947	302
chr1	1574786	1575390	.	856	.	18.79172	-1.00000	4.91947	302
chr1	1614086	1614690	.	729	.	31.11262	-1.00000	4.91947	302
chr1	1614143	1614439	.	570	.	12.71899	-1.00000	3.52630	148
chr1	1647922	1648172	.	944	.	21.63805	-1.00000	1.61401	125
chr1	1647923	1648196	.	1000	.	60.45404	-1.00000	4.91947	124
chr1	1692566	1693170	.	588	.	23.04120	-1.00000	4.91947	302
chr1	1714959	1715563	.	1000	.	53.87940	-1.00000	4.91947	302
